Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-05-25 11:11:56,false,"Westfield Running","4.51","507","38:22","164","180","4.0","160","170","8:31","8:09","210","219","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-23 16:49:00,false,"Washington Running","2.11","209","18:11","148","176","2.4","159","211","8:37","7:16","25","61","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-15 17:42:00,false,"Washington Running","4.01","410","34:33","153","181","3.3","159","166","8:37","7:39","81","85","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-13 11:28:40,false,"Washington Running","8.03","881","1:13:13","157","179","3.4","161","168","9:07","7:35","257","383","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-11 18:05:40,false,"Washington Running","4.52","446","38:28","150","184","2.9","159","180","8:30","7:39","155","132","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-08 17:48:51,false,"Washington Running","5.04","541","42:37","159","178","3.4","160","170","8:28","7:39","90","86","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-07 18:44:35,false,"Washington Running","5.54","562","47:20","152","180","3.3","159","166","8:33","7:26","133","142","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-30 17:57:20,false,"Washington Running","4.03","406","34:21","150","169","2.9","160","170","8:32","7:17","58","67","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-27 18:40:05,false,"Arlington County Running","3.10","283","21:25","166","190","3.1","166","194","6:54","4:57","43","43","1.41","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-25 12:42:26,false,"Washington Running","4.03","407","34:24","151","180","3.0","162","219","8:33","6:58","77","77","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-24 18:12:37,false,"Washington Running","5.53","545","47:41","151","171","3.0","160","170","8:37","7:13","108","99","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-22 10:11:06,false,"Washington Running","10.02","1,092","1:27:42","163","195","3.8","164","174","8:45","6:56","210","219","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-20 18:30:21,false,"Arlington County Running","3.15","293","25:08","153","195","3.0","163","181","7:58","5:40","45","43","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
